Name,IC Number,Gender,Date,Time,State
Barney Holmes,482-88-0265,Male,11/23/2021,3:02 PM,Sarawak
Boris Gates,035-36-1467,Female,7/16/2021,7:30 PM,Kelantan
Nate Freeburn,022-50-1180,Female,8/21/2021,4:32 PM,Perlis
Alexander Clark,673-37-3874,Female,6/9/2021,7:48 AM,Selangor
Leroy Clarke,658-00-1418,Female,11/20/2021,9:11 PM,Terengganu
Johnny Webster,581-81-3436,Female,11/26/2021,10:20 AM,Sabah
Tyson Harris,434-88-5535,Male,4/13/2021,4:04 PM,Sabah
Anthony Collingwood,258-83-2147,Female,6/27/2021,2:04 PM,Kedah
Carter Moore,025-53-8562,Female,6/9/2021,1:56 PM,Selangor
Lucas Douglas,787-03-1000,Male,1/19/2021,8:17 AM,Sarawak
George Parker,540-33-6600,Male,5/19/2021,7:34 PM,Sarawak
Caleb Mooney,223-32-1416,Female,12/22/2021,5:37 PM,Perak
Johnny Beal,806-45-7846,Female,8/16/2021,3:57 PM,Johor
Johnny Vollans,383-68-0808,Female,5/13/2021,4:55 PM,Penang
Aiden Stewart,873-71-8105,Male,11/5/2021,6:49 AM,Perlis
Anthony Carter,672-72-8880,Female,3/17/2021,1:50 AM,Selangor
Mike Baker,214-15-8130,Male,8/18/2021,2:58 AM,Negeri Sembilan
Nicholas King,545-18-8028,Male,7/21/2021,5:37 PM,Johor
Boris Allen,835-28-2087,Female,2/16/2021,8:01 PM,Kelantan
Percy Booth,110-37-7233,Male,1/20/2021,1:51 AM,Terengganu
Tom Ainsworth,173-64-6075,Male,1/20/2021,11:55 AM,Malacca
Kurt Baker,470-82-8571,Female,2/27/2021,3:39 PM,Kedah
Brad Emerson,620-82-7858,Female,5/3/2021,8:47 AM,Kelantan
Peter Cox,318-43-7772,Male,5/25/2021,1:55 AM,Selangor
Phillip Hudson,287-02-3227,Female,4/7/2021,2:30 AM,Kedah
Henry Vernon,508-54-7427,Female,8/25/2021,1:25 AM,Kelantan
Caleb Amstead,371-66-3383,Female,1/23/2021,8:23 PM,Sarawak
Mike Hastings,865-85-1700,Female,8/22/2021,6:52 PM,Johor
Henry Holt,435-22-5310,Female,11/27/2021,11:45 AM,Perlis
Logan Sawyer,203-03-3504,Male,1/17/2021,12:43 AM,Malacca
Rufus Thomson,056-75-7121,Male,3/5/2021,3:11 AM,Malacca
Danny Drummond,437-07-7640,Female,10/20/2021,3:13 PM,Kelantan
Chad Baxter,317-13-3074,Female,3/12/2021,8:45 PM,Sabah
Caleb Clark,003-32-7848,Male,10/15/2021,10:48 PM,Negeri Sembilan
Oliver Kelly,425-23-6074,Male,7/14/2021,11:46 AM,Selangor
David Ranks,523-43-3078,Male,7/21/2021,5:07 PM,Penang
Hayden Atkinson,422-32-7040,Male,10/26/2021,4:44 AM,Kelantan
Matt Dobson,448-87-6365,Male,7/3/2021,3:11 AM,Negeri Sembilan
Ronald Brown,806-38-6743,Female,9/23/2021,6:20 AM,Terengganu
Matthew Bowen,312-24-7805,Male,11/5/2021,5:34 AM,Sarawak
Peter Hall,226-30-1177,Male,5/3/2021,9:09 AM,Negeri Sembilan
Carter Palmer,707-71-3306,Female,3/16/2021,12:50 PM,Sarawak
Joseph Driscoll,624-68-0473,Male,2/1/2021,8:32 PM,Kelantan
Matthew Hooper,081-80-4872,Male,3/14/2021,8:05 AM,Sabah
Noah Eagle,311-67-5652,Female,12/6/2021,8:44 AM,Sabah
George Miller,057-33-2344,Male,6/19/2021,12:16 AM,Perak
Wade Everett,022-18-4482,Male,9/2/2021,5:19 AM,Malacca
Nate Owens,704-16-8334,Female,10/30/2021,2:12 PM,Malacca
Noah Leigh,117-43-4278,Female,6/18/2021,6:58 PM,Perlis
Tyler Reid,777-04-1151,Male,6/22/2021,3:40 PM,Sarawak
Percy Roman,473-45-8172,Male,4/16/2021,9:27 PM,Pahang
Marvin Varndell,768-34-4212,Male,2/18/2021,10:32 AM,Malacca
Doug Slater,771-56-3461,Male,2/9/2021,8:02 AM,Selangor
Anthony Mooney,821-87-8448,Female,1/24/2021,6:48 PM,Negeri Sembilan
Joseph Addley,030-85-5604,Male,11/9/2021,12:41 AM,Perlis
William Reynolds,240-70-6251,Female,4/17/2021,3:54 AM,Sarawak
Danny Ashley,311-12-0261,Female,9/3/2021,10:11 PM,Perak
Chad Thomson,235-77-0686,Female,2/2/2021,7:35 PM,Selangor
Roger Pond,035-41-0816,Male,6/20/2021,2:21 PM,Malacca
Russel Vollans,335-32-7415,Female,2/14/2021,9:20 PM,Selangor
Harvey Bowen,075-00-7412,Female,10/27/2021,12:04 AM,Penang
Luke Baker,173-81-8760,Male,12/14/2021,10:19 PM,Perak
Gabriel Walker,352-67-4082,Female,10/1/2021,6:08 AM,Kedah
Johnathan Nelson,237-87-3306,Female,2/15/2021,1:11 AM,Selangor
Enoch Hall,611-23-3461,Male,3/20/2021,9:43 AM,Perak
Martin Walton,415-05-1728,Female,6/18/2021,3:44 PM,Penang
Cedrick Ranks,528-05-6854,Male,5/10/2021,1:13 PM,Malacca
Julius Thompson,276-36-5068,Female,1/16/2021,4:56 PM,Malacca
Liam Hunter,420-77-2204,Female,9/28/2021,3:38 AM,Pahang
Noah Broomfield,462-34-2172,Male,11/5/2021,2:36 PM,Selangor
Erick Cork,482-44-5352,Male,5/14/2021,6:22 PM,Kelantan
Barney Durrant,288-30-5840,Female,9/4/2021,12:51 AM,Sarawak
Enoch Holt,864-70-6072,Female,6/6/2021,9:07 AM,Johor
Tyson Hardwick,286-75-8574,Male,4/19/2021,9:33 AM,Sarawak
Manuel Wilde,742-36-7756,Male,8/14/2021,6:56 PM,Selangor
Russel Milner,621-35-8685,Male,3/6/2021,10:28 AM,Kelantan
Matthew Shaw,676-85-5455,Male,2/9/2021,2:00 AM,Perlis
Carl Cadman,103-77-1234,Female,8/3/2021,10:24 AM,Terengganu
Jayden Richards,880-17-4124,Female,4/15/2021,5:10 AM,Sarawak
Javier Page ,184-66-0855,Male,7/6/2021,8:36 AM,Selangor
David London,072-02-3412,Female,12/24/2021,12:27 PM,Kedah
Mark Newman,856-73-3675,Female,8/24/2021,5:35 AM,Malacca
Chadwick Weatcroft,304-60-3071,Female,5/3/2021,12:18 PM,Terengganu
Enoch Watt,633-08-6737,Male,10/3/2021,5:03 AM,Sabah
Danny Hardwick,362-27-0862,Female,7/26/2021,4:39 AM,Kelantan
Barry Patel,235-71-5622,Male,2/9/2021,12:46 AM,Kedah
Cedrick Lakey,521-31-7703,Female,5/2/2021,4:23 PM,Terengganu
Elijah Sanchez,064-47-3717,Male,11/23/2021,8:30 AM,Perak
Carter Booth,766-56-1423,Male,4/23/2021,4:48 PM,Sabah
Eduardo Needham,473-16-3137,Male,9/15/2021,3:55 PM,Pahang
Luke Thomas,475-55-1556,Male,4/15/2021,7:23 AM,Pahang
John Shea,465-30-3407,Male,2/25/2021,7:32 PM,Penang
Harry Button,183-27-7134,Female,7/18/2021,10:12 PM,Kelantan
Gil Cadman,741-42-2747,Male,7/11/2021,4:07 AM,Malacca
Jacob Connor,315-30-0773,Male,5/6/2021,6:48 AM,Pahang
Bryon Broomfield,610-45-5370,Male,5/14/2021,12:04 PM,Kelantan
Tom Collins,431-11-8282,Male,12/25/2021,1:54 PM,Kelantan
Nick Brett,208-71-8166,Female,3/26/2021,7:17 PM,Perak
Percy Daniells,773-50-7181,Female,11/16/2021,4:18 AM,Sarawak
Carl Briggs,526-55-4365,Male,9/19/2021,1:11 PM,Johor
Doug Shaw,543-85-8258,Female,8/12/2021,2:00 PM,Kedah
Alexander Larsen,471-14-7151,Female,1/10/2021,9:42 AM,Kelantan
Bart Blythe,640-33-2681,Female,8/24/2021,4:46 AM,Perlis
Maxwell Shelton,745-74-1522,Male,11/13/2021,1:45 AM,Perak
Domenic Turner,813-06-8218,Male,6/1/2021,11:31 AM,Perlis
Roger Thompson,837-34-2210,Male,7/24/2021,4:46 AM,Johor
Jack Murray,344-88-0342,Female,7/8/2021,1:41 PM,Terengganu
Tom Power,877-06-8526,Female,9/24/2021,7:23 AM,Negeri Sembilan
Daniel Fenton,670-44-7650,Male,8/12/2021,1:51 PM,Malacca
Harvey Tennant,407-52-4722,Female,6/24/2021,6:33 PM,Selangor
Josh Rose,551-16-1264,Male,2/8/2021,5:48 AM,Selangor
Denis Henderson,781-44-2672,Female,1/26/2021,3:29 PM,Sabah
Benny Lloyd,633-80-8146,Female,8/8/2021,10:41 PM,Kelantan
George Tait,120-17-3352,Male,2/22/2021,5:31 PM,Selangor
Ryan Farrant,504-71-8667,Male,5/12/2021,7:43 AM,Penang
Danny Ward,324-65-7121,Male,8/2/2021,1:17 PM,Pahang
Julius Tutton,437-21-4337,Male,11/1/2021,12:07 AM,Negeri Sembilan
Harry Thomas,546-08-8864,Male,2/1/2021,3:27 PM,Sarawak
Matthew Clark,356-03-4451,Female,4/8/2021,12:15 AM,Negeri Sembilan
Russel Newman,356-72-2625,Female,10/2/2021,12:54 AM,Sabah
Lucas Clifford,247-85-0051,Female,11/5/2021,12:14 AM,Pahang
Abdul Willson,484-27-5883,Male,2/27/2021,9:55 PM,Selangor
Johnathan Wilde,408-54-1806,Female,2/2/2021,6:39 AM,Terengganu
Marvin Sylvester,726-26-8702,Male,1/31/2021,1:40 PM,Kelantan
Ronald Morrison,650-34-2552,Male,11/6/2021,5:19 AM,Terengganu
William Lunt,360-53-6568,Female,12/3/2021,2:48 PM,Perak
John Murphy,062-45-4033,Male,3/19/2021,1:48 AM,Terengganu
Anthony Walker,238-32-3054,Female,7/15/2021,5:04 PM,Perak
George Mills,506-16-8740,Female,2/15/2021,7:05 AM,Penang
Matt Whinter,766-14-8726,Male,4/18/2021,4:15 AM,Selangor
Brad Hamilton,453-30-5648,Female,3/19/2021,12:55 AM,Sarawak
Anthony Torres,267-87-1007,Male,7/25/2021,6:46 AM,Pahang
Hank Sloan,770-71-7012,Female,7/11/2021,1:30 PM,Sarawak
Phillip Gray,165-77-3161,Male,8/14/2021,5:02 PM,Johor
Matt Camden,430-38-0362,Female,11/16/2021,10:04 AM,Terengganu
Cedrick York,158-43-7774,Female,3/8/2021,2:20 PM,Malacca
Abdul Kirby,836-28-7828,Female,11/20/2021,2:52 AM,Malacca
Aiden Broomfield,786-80-0676,Male,1/22/2021,3:18 AM,Terengganu
Doug Norburn,482-48-2544,Female,1/11/2021,12:20 AM,Negeri Sembilan
Elijah Griffiths,287-81-0385,Male,5/8/2021,9:21 AM,Negeri Sembilan
William Jenkin,220-70-1818,Male,2/23/2021,10:30 AM,Negeri Sembilan
Sebastian Addison,806-68-7358,Female,1/22/2021,6:08 PM,Kedah
Clint Booth,561-62-0087,Male,8/6/2021,8:06 AM,Kelantan
Bob Patel,040-58-2253,Female,3/15/2021,11:57 AM,Sarawak
Denny Rose,154-32-5540,Female,8/18/2021,2:11 AM,Johor
Fred Wright,463-01-0771,Male,7/15/2021,2:11 PM,Selangor
Boris Jenkins,255-62-6036,Female,12/30/2021,1:19 AM,Kedah
Joseph Price,840-75-6240,Male,3/8/2021,7:17 PM,Sarawak
Julian Morris,314-43-2057,Female,1/7/2021,10:57 AM,Kelantan
Abdul Needham,657-53-4720,Male,4/2/2021,12:13 PM,Pahang
Nicholas Daniells,121-03-6732,Male,4/28/2021,4:53 PM,Penang
Carl Hill,716-84-7786,Female,7/27/2021,2:38 PM,Johor
Matt Reyes,628-04-8672,Female,8/30/2021,9:03 AM,Perlis
Chuck Overson,546-45-8102,Male,1/25/2021,7:51 PM,Perak
Chester Lewis,328-23-2225,Female,10/16/2021,4:34 AM,Kedah
Bob Bowen,015-01-2151,Male,1/26/2021,7:13 PM,Malacca
Hayden Abbot,502-08-8152,Female,10/30/2021,7:11 AM,Perlis
Hank Groves,326-11-8533,Female,5/1/2021,7:00 AM,Perak
Ramon Waterson,842-18-7040,Male,8/28/2021,12:50 PM,Pahang
Ryan Hamilton,864-83-8081,Female,10/1/2021,11:58 AM,Negeri Sembilan
Ryan Gallacher,246-06-1361,Male,4/13/2021,4:16 PM,Penang
Ramon Lloyd,788-43-6007,Male,11/14/2021,7:55 PM,Sarawak
Benjamin Durrant,064-71-4766,Female,3/19/2021,5:31 PM,Selangor
Daron Graham,253-30-3683,Female,2/26/2021,10:39 AM,Perlis
Brad Jackson,105-32-1403,Male,5/12/2021,1:22 AM,Kelantan
Henry Whatson,360-28-5327,Male,2/27/2021,5:00 PM,Terengganu
Barry Broomfield,857-07-0032,Male,1/24/2021,1:10 PM,Perlis
Percy Thorne,401-21-5423,Male,1/7/2021,6:10 AM,Perlis
Daron Brock,510-78-3217,Male,7/29/2021,1:45 PM,Selangor
Logan Russell,860-34-3130,Male,1/26/2021,2:24 AM,Kelantan
Leroy Khan,573-67-0563,Female,1/7/2021,1:30 AM,Perlis
Henry May,714-22-3443,Female,4/5/2021,1:34 PM,Malacca
Bob Jackson,570-07-2508,Female,3/25/2021,9:27 PM,Malacca
Carl Hall,086-38-2438,Female,8/31/2021,10:10 AM,Penang
Noah Tate,450-14-5161,Male,9/27/2021,6:42 AM,Selangor
Roger Gardner,805-52-4242,Female,7/5/2021,4:14 PM,Pahang
Nate Forester,768-15-6514,Male,1/27/2021,10:28 AM,Johor
Noah Martin,782-16-8354,Male,4/20/2021,2:31 PM,Pahang
Ron Plumb,743-38-1726,Male,8/23/2021,3:55 PM,Penang
Javier Ross,016-08-2178,Female,3/23/2021,6:46 PM,Perak
George Thorpe,625-22-1585,Female,2/11/2021,3:18 PM,Sabah
Fred Mcleod,733-16-8281,Male,12/1/2021,2:46 AM,Selangor
Rufus Doherty,310-61-1814,Female,12/24/2021,5:04 AM,Sabah
Nate Quinton,431-83-4444,Female,9/22/2021,7:29 AM,Perlis
Daron Evans,648-63-3076,Female,11/14/2021,9:48 PM,Perlis
Russel Andrews,832-53-4485,Female,6/21/2021,5:08 AM,Kedah
Rufus Flynn,727-06-4536,Female,2/1/2021,3:07 PM,Sarawak
Caleb Brock,183-15-1756,Male,7/12/2021,9:35 AM,Malacca
Tom Norburn,823-10-0650,Female,3/28/2021,10:54 AM,Malacca
Boris Collingwood,005-82-5024,Female,12/11/2021,12:55 AM,Pahang
Carl Pierce,572-81-3686,Female,8/5/2021,7:16 PM,Terengganu
Benjamin Rothwell,442-32-4538,Female,4/2/2021,6:55 AM,Perlis
Nate Russel,783-35-2316,Male,9/22/2021,12:33 AM,Perak
David Young,673-51-4052,Female,2/9/2021,9:02 PM,Johor
Jayden Oldfield,274-17-1823,Male,6/5/2021,12:44 AM,Perlis
Daron Scott,315-17-4604,Female,9/2/2021,6:28 PM,Selangor
Tony Dyson,826-01-4482,Male,5/21/2021,8:52 PM,Selangor
Ethan Gilbert,706-35-6012,Female,6/3/2021,9:10 PM,Sarawak
John Allen,202-75-3385,Female,10/4/2021,9:36 PM,Penang
Russel Alexander,088-72-5786,Male,7/15/2021,10:33 AM,Malacca
Owen Vinton,605-11-2505,Female,5/9/2021,7:02 AM,Johor
Harry Miller,772-00-4140,Male,6/1/2021,7:34 AM,Kelantan
Chester Ward,121-06-3814,Female,6/4/2021,10:09 AM,Kelantan
Russel Pearce,458-08-8204,Female,8/17/2021,12:57 AM,Perlis
Barry Hunt,478-61-4573,Male,6/7/2021,5:04 AM,Perak
Julian Robertson,047-52-0631,Male,9/17/2021,9:14 PM,Perak
Phillip Burge,021-65-0778,Female,8/22/2021,4:09 AM,Terengganu
Rocco Ebbs,116-41-5827,Male,2/11/2021,1:50 PM,Kelantan
Cedrick Cowan,210-60-4260,Male,11/10/2021,10:16 AM,Sabah
Liam Edwards,054-31-4152,Female,7/13/2021,2:41 PM,Kelantan
Johnathan Simpson,602-22-1115,Female,7/12/2021,12:19 PM,Perak
Carl Eastwood,772-87-8075,Male,4/11/2021,6:09 AM,Perak
Matt Yang,660-86-6303,Female,2/10/2021,9:20 PM,Penang
Gil Thorpe,802-71-8021,Female,10/6/2021,7:58 AM,Perak
Phillip Oliver,101-55-3237,Male,1/3/2021,5:04 PM,Malacca
Luke Thomson,133-45-8053,Male,1/14/2021,2:13 AM,Perlis
Johnathan Tutton,346-15-3458,Male,6/30/2021,6:10 PM,Perlis
Brad Stone,408-44-8557,Male,2/24/2021,1:16 PM,Negeri Sembilan
